text,label,model
"We aim to embed sustainability considerations into decision-making where appropriate, while maintaining focus on operational performance and stakeholder value.",non-specific,gpt_55
Our climate-related disclosures are expected to evolve as our practices mature and as external reporting expectations continue to develop.,non-specific,gpt_55
We remain committed to advancing our sustainability agenda by integrating climate considerations into our business practices and decision-making processes.,non-specific,gpt_55
Our approach to environmental stewardship reflects our ongoing effort to manage climate-related risks while supporting long-term value creation for our stakeholders.,non-specific,gpt_55
We continue to evaluate opportunities to improve operational efficiency and reduce the environmental impact of our activities across the organization.,non-specific,gpt_55
"Climate change remains an important consideration in our strategic planning, and we are working to strengthen resilience across our business and supply chain.",non-specific,gpt_55
"We engage with employees, partners, and other stakeholders to promote responsible business practices and support progress on sustainability priorities.",non-specific,gpt_55
"Our sustainability efforts are guided by a commitment to responsible resource use, environmental awareness, and continuous improvement.",non-specific,gpt_55
We are enhancing our understanding of climate-related impacts and incorporating relevant considerations into our governance and risk management processes.,non-specific,gpt_55
The company seeks to support the transition to a lower-carbon economy through thoughtful actions aligned with our values and business objectives.,non-specific,gpt_55
We recognize the importance of transparency in sustainability reporting and continue to refine our disclosures as practices and expectations evolve.,non-specific,gpt_55
"Our environmental initiatives are designed to help us operate more responsibly while supporting the needs of our customers, communities, and stakeholders.",non-specific,gpt_55
"In FY2024, our Scope 1 and Scope 2 market-based greenhouse gas emissions were 48,600 tonnes CO2e, a 12% reduction from the 55,200 tonnes CO2e reported in FY2023.",specific,gpt_55
"We sourced 64% of our global electricity consumption from renewable sources in 2024, equivalent to 118,000 MWh purchased through renewable energy certificates and power purchase agreements.",specific,gpt_55
"The company has set a target to reduce absolute Scope 1 and Scope 2 emissions by 50% by 2030 from a 2020 baseline of 92,400 tonnes CO2e.",specific,gpt_55
"Our Scope 3 emissions were estimated at 1.8 million tonnes CO2e in 2024, with purchased goods and services representing 57% of the total.",specific,gpt_55
"During 2024, we completed energy-efficiency upgrades at 23 manufacturing sites, reducing annual electricity use by approximately 14,500 MWh.",specific,gpt_55
"We consumed 3.2 million cubic meters of water across our operations in 2024, a 6% decrease compared with 2023 due to process optimization and leak detection programs.",specific,gpt_55
"By 31 December 2025, we aim to have 100% of our owned vehicle fleet in Europe transitioned to electric or hybrid models, covering approximately 1,250 vehicles.",specific,gpt_55
"In 2024, we diverted 82% of operational waste from landfill, including 46,000 tonnes recycled, reused, or sent for energy recovery.",specific,gpt_55
"Our logistics emissions decreased by 9% in 2024 to 212,000 tonnes CO2e, primarily due to shifting 18% of European freight volume from road to rail.",specific,gpt_55
"We have committed to achieving net-zero greenhouse gas emissions across Scopes 1, 2, and 3 by 2050, with interim 2030 targets submitted for validation by the Science Based Targets initiative.",specific,gpt_55
"In 2023, our Scope 1 and Scope 2 market-based greenhouse gas emissions totaled 48,600 tCO2e, representing a 12% reduction from our 2020 baseline.",specific,gpt_55
"We have committed to source 100% renewable electricity for our global operations by 2030, with 64% of electricity consumption covered by renewable power purchase agreements in 2023.",specific,gpt_55
"Our Scope 3 emissions were estimated at 1.2 million tCO2e in 2023, of which 72% related to purchased goods and services and use of sold products.",specific,gpt_55
"During the reporting year, we reduced energy consumption across our manufacturing sites by 18,400 MWh through lighting upgrades, compressed-air system optimization, and heat recovery projects.",specific,gpt_55
"The company has set a target to reduce absolute Scope 1 and Scope 2 emissions by 50% by 2030 from a 2019 baseline of 95,000 tCO2e.",specific,gpt_55
"In 2023, we diverted 86% of non-hazardous operational waste from landfill, equivalent to 14,200 tonnes of material reused, recycled, or recovered.",specific,gpt_55
"Our fleet electrification program added 320 electric vehicles in 2023, increasing the share of low-emission vehicles in our company-owned fleet to 27%.",specific,gpt_55
"We withdrew 3.8 million cubic meters of water in 2023, a 9% decrease year over year, primarily due to water-recycling investments at our two largest production facilities.",specific,gpt_55
"By the end of 2024, we plan to complete climate-risk assessments for 100% of sites located in regions classified as high exposure to flooding, heat stress, or water scarcity.",specific,gpt_55
"In 2023, supplier engagement covered 58% of our procurement spend, and 145 strategic suppliers were requested to disclose emissions data and set science-based reduction targets.",specific,gpt_55
"In FY2024, our total Scope 1 and Scope 2 greenhouse gas emissions were 48,320 tonnes CO2e, representing a 12.4% reduction from the FY2020 baseline of 55,160 tonnes CO2e.",specific,gpt_55
"We sourced 68% of our global electricity consumption from renewable sources in 2024, equivalent to 214 GWh, and remain on track to reach 100% renewable electricity by 2030.",specific,gpt_55
"Our Scope 3 emissions were estimated at 1.86 million tonnes CO2e in 2024, with purchased goods and services accounting for 57% of the total.",specific,gpt_55
"During 2024, we reduced energy intensity across our manufacturing sites to 0.42 MWh per unit produced, a 9% improvement compared with 2023.",specific,gpt_55
"We have committed to reduce absolute Scope 1 and Scope 2 emissions by 50% by 2030 from a 2019 baseline of 92,000 tonnes CO2e.",specific,gpt_55
"In 2024, our logistics optimization program avoided approximately 18,500 tonnes CO2e by shifting 22% of regional freight volume from air transport to ocean and rail.",specific,gpt_55
"Our facilities consumed 3.7 million cubic meters of water in 2024, a 6.8% decrease from the prior year, driven by closed-loop cooling upgrades at three production sites.",specific,gpt_55
"By the end of 2025, we plan to install 12 MW of on-site solar capacity across our distribution centers, expected to generate approximately 16,400 MWh of electricity annually.",specific,gpt_55
"In 2024, 41% of our suppliers by procurement spend had science-based emissions reduction targets, compared with 29% in 2023.",specific,gpt_55
"We diverted 83% of operational waste from landfill in 2024, including 126,000 tonnes recycled, reused, or recovered across our global operations.",specific,gpt_55
"In FY2024, our Scope 1 and Scope 2 market-based greenhouse gas emissions totaled 148,600 tCO2e, representing a 12% reduction from the FY2020 baseline of 168,900 tCO2e.",specific,gpt_55
We have committed to reduce absolute Scope 1 and Scope 2 emissions by 50% by 2030 from a 2019 baseline and to reach net-zero greenhouse gas emissions across our value chain by 2050.,specific,gpt_55
"During 2024, 64% of electricity consumed across our global operations was sourced from renewable electricity contracts, equivalent to approximately 412,000 MWh.",specific,gpt_55
"Our Scope 3 emissions were estimated at 2.8 million tCO2e in 2024, with purchased goods and services accounting for 57% of the total.",specific,gpt_55
"The company reduced energy consumption at its manufacturing sites by 38,200 MWh in 2024 through boiler upgrades, LED lighting retrofits, and compressed-air leak reduction programs.",specific,gpt_55
"We achieved a 9% year-over-year reduction in water withdrawal at facilities located in high water-stress regions, decreasing consumption from 1.1 million m3 in 2023 to 1.0 million m3 in 2024.",specific,gpt_55
"By the end of 2024, 72% of our tier-one suppliers by spend had reported greenhouse gas emissions data through our supplier sustainability platform.",specific,gpt_55
"Our logistics emissions declined by 6,400 tCO2e in 2024 after shifting 18% of eligible freight volume from air transport to ocean and rail.",specific,gpt_55
"We diverted 84% of operational waste from landfill in 2024, including 26,500 tonnes recycled, reused, or sent for energy recovery.",specific,gpt_55
"Capital expenditures of $46 million were approved in 2024 for decarbonization projects expected to reduce annual Scope 1 emissions by approximately 31,000 tCO2e once fully implemented in 2027.",specific,gpt_55
"In FY2024, we reduced absolute Scope 1 and Scope 2 market-based greenhouse gas emissions by 18% versus our 2020 baseline, from 142,000 tonnes CO2e to 116,400 tonnes CO2e.",specific,gpt_55
"By 31 December 2025, we aim to source 100% renewable electricity for all owned and operated sites, compared with 74% renewable electricity procured in 2024.",specific,gpt_55
"Our Scope 3 emissions were 2.8 million tonnes CO2e in 2024, with purchased goods and services representing 61% of the total.",specific,gpt_55
"During 2024, energy-efficiency projects at our three largest manufacturing plants saved 42,300 MWh of electricity and avoided an estimated 17,900 tonnes CO2e.",specific,gpt_55
We have committed to reduce Scope 1 and Scope 2 emissions by 50% by 2030 from a 2019 baseline and to achieve net-zero greenhouse gas emissions across our value chain by 2050.,specific,gpt_55
"In 2024, our fleet transition program added 186 electric delivery vehicles, increasing the electric share of our owned fleet from 9% to 22%.",specific,gpt_55
"Water withdrawals at facilities in high-stress basins decreased by 12% in 2024, from 3.4 million cubic meters to 3.0 million cubic meters.",specific,gpt_55
"We purchased 310,000 MWh of renewable electricity certificates in 2024, covering 68% of our global electricity consumption.",specific,gpt_55
"Packaging redesign initiatives completed in 2024 eliminated approximately 1,250 tonnes of virgin plastic and increased recycled content in primary packaging to 38%.",specific,gpt_55
"Capital expenditure aligned with our climate transition plan totaled $94 million in 2024, including $37 million for onsite solar generation and $28 million for process electrification.",specific,gpt_55
"In 2023, our Scope 1 and Scope 2 market-based greenhouse gas emissions totaled 42,800 tonnes CO2e, a 16% reduction from the 2020 baseline.",specific,gpt_55
We have committed to source 100% renewable electricity for our global operations by 2030 and reached 68% renewable electricity procurement as of 31 December 2023.,specific,gpt_55
"Our logistics efficiency program reduced diesel consumption in our owned fleet by 1.9 million liters in 2023, avoiding approximately 5,100 tonnes CO2e.",specific,gpt_55
"Scope 3 emissions from purchased goods and services were estimated at 312,000 tonnes CO2e in 2023, representing 54% of our total value-chain emissions.",specific,gpt_55
"During the reporting year, we invested $18.4 million in energy-efficiency upgrades across 27 manufacturing sites, delivering annualized electricity savings of 38 GWh.",specific,gpt_55
"We have set a target to reduce absolute Scope 1 and Scope 2 emissions by 50% by 2030 from a 2019 baseline of 96,500 tonnes CO2e.",specific,gpt_55
"In 2023, 41% of our packaging materials by weight were recycled or certified renewable, compared with 34% in 2022.",specific,gpt_55
Water withdrawals at facilities in high-stress regions declined by 12% year over year to 2.6 million cubic meters in 2023.,specific,gpt_55
"Our supplier engagement program covered 73% of procurement spend in 2023, with 186 strategic suppliers requested to disclose climate data through CDP.",specific,gpt_55
"We generated 24,700 MWh of on-site solar electricity in 2023, equivalent to approximately 9% of our total electricity consumption.",specific,gpt_55
